time	accuracy	precision	recall	f-value
9.588	0.686379928315	0.6806	0.7378	0.7081
9.636	0.791218637993	0.8664	0.8941	0.8801
9.719	0.700716845878	0.6728	0.7395	0.7046
10.377	0.774193548387	0.8935	0.8605	0.8767
1.282	0.675627240143	0.6639	0.6605	0.6622
9.662	0.791218637993	0.8722	0.8605	0.8663
1.576	0.808243727599	0.9408	0.9076	0.9239
9.998	0.783154121864	0.9029	0.8756	0.8891
10.224	0.799283154122	0.9203	0.8924	0.9061
1.397	0.806451612903	0.9390	0.9059	0.9222
1.576	0.808243727599	0.9408	0.9076	0.9239
1.61	0.806451612903	0.9407	0.9059	0.9229
1.605	0.809139784946	0.9392	0.9092	0.9240
1.503	0.804659498208	0.9354	0.9008	0.9178
1.487	0.807347670251	0.9341	0.9059	0.9198
1.425	0.806451612903	0.9424	0.9076	0.9247
1.576	0.808243727599	0.9408	0.9076	0.9239
1.34	0.806451612903	0.9407	0.9059	0.9229
1.371	0.806451612903	0.9390	0.9059	0.9222
1.35	0.806451612903	0.9390	0.9059	0.9222
1.4	0.806451612903	0.9390	0.9059	0.9222
1.404	0.807347670251	0.9391	0.9076	0.9231
1.576	0.808243727599	0.9408	0.9076	0.9239
1.454	0.806451612903	0.9390	0.9059	0.9222
10.321	0.80376344086	0.9302	0.8958	0.9127
1.293	0.808243727599	0.9361	0.9109	0.9233
1.53	0.806451612903	0.9390	0.9059	0.9222
1.405	0.806451612903	0.9390	0.9059	0.9222
1.513	0.806451612903	0.9390	0.9059	0.9222
1.596	0.806451612903	0.9390	0.9059	0.9222
1.363	0.806451612903	0.9390	0.9059	0.9222
1.454	0.813874788494	0.9383	0.9137	0.9258
1.368	0.817040358744	0.9377	0.9346	0.9361
1.397	0.808586762075	0.9293	0.9233	0.9263
1.417	0.794556628622	0.9182	0.8987	0.9083
1.423	0.817446043165	0.9499	0.9436	0.9468
1.502	0.82277318641	0.9659	0.9497	0.9578
1.337	0.807726075505	0.9307	0.9183	0.9245
1.393	0.802035152636	0.9291	0.9060	0.9174
1.369	0.798230088496	0.9310	0.8948	0.9125
1.439	0.827406764961	0.9625	0.9380	0.9501
1.406	0.819687212511	0.9663	0.9471	0.9566
1.557	0.819139596137	0.9413	0.9321	0.9367
1.471	0.826352530541	0.9605	0.9426	0.9515
1.452	0.798068481124	0.9144	0.8816	0.8977
1.438	0.806537102473	0.9357	0.9021	0.9186
1.429	0.799082568807	0.9208	0.9033	0.9119
1.519	0.819407008086	0.9433	0.9268	0.9350
1.466	0.813911472448	0.9477	0.9236	0.9355
1.386	0.824146981627	0.9521	0.9396	0.9458
1.446	0.802744425386	0.9253	0.9005	0.9127
